measure_at_layer,rank,head_layer,head_idx,mean_dla_delta,pct_of_total,note
18,1,17,19,-0.221967,6.57,GATE_LAYER
18,2,17,17,0.180538,5.34,GATE_LAYER
18,3,14,7,0.11029,3.26,
18,4,15,7,0.103844,3.07,
18,5,17,4,0.101408,3.0,GATE_LAYER
18,6,14,5,-0.099472,2.94,
18,7,16,29,0.09569,2.83,
18,8,17,7,-0.092122,2.73,GATE_LAYER
18,9,14,27,0.091781,2.72,
18,10,14,4,0.09128,2.7,
18,11,17,15,0.089208,2.64,GATE_LAYER
18,12,16,28,-0.062091,1.84,
18,13,11,0,0.061812,1.83,
18,14,16,13,-0.050706,1.5,
18,15,16,16,-0.050165,1.48,
18,16,15,4,0.047256,1.4,
18,17,17,16,0.045827,1.36,GATE_LAYER
18,18,12,18,0.044484,1.32,
18,19,14,6,0.04214,1.25,
18,20,16,7,0.039972,1.18,
20,1,18,30,0.437186,6.87,
20,2,18,31,-0.311056,4.89,
20,3,18,29,0.267293,4.2,
20,4,19,10,0.26265,4.13,
20,5,19,31,0.23236,3.65,
20,6,17,19,-0.221967,3.49,GATE_LAYER
20,7,17,17,0.180538,2.84,GATE_LAYER
20,8,18,28,0.161058,2.53,
20,9,19,13,0.142367,2.24,
20,10,14,7,0.11029,1.73,
20,11,15,7,0.103844,1.63,
20,12,17,4,0.101408,1.59,GATE_LAYER
20,13,19,15,-0.101364,1.59,
20,14,14,5,-0.099472,1.56,
20,15,16,29,0.09569,1.5,
20,16,17,7,-0.092122,1.45,GATE_LAYER
20,17,14,27,0.091781,1.44,
20,18,14,4,0.09128,1.43,
20,19,17,15,0.089208,1.4,GATE_LAYER
20,20,19,30,0.074425,1.17,
22,1,18,30,0.437186,5.31,
22,2,18,31,-0.311056,3.78,
22,3,18,29,0.267293,3.25,
22,4,19,10,0.26265,3.19,
22,5,19,31,0.23236,2.82,
22,6,17,19,-0.221967,2.7,GATE_LAYER
22,7,20,8,0.211679,2.57,
22,8,20,9,-0.199953,2.43,
22,9,17,17,0.180538,2.19,GATE_LAYER
22,10,18,28,0.161058,1.96,
22,11,19,13,0.142367,1.73,
22,12,21,15,0.130128,1.58,
22,13,21,17,-0.125412,1.52,
22,14,14,7,0.11029,1.34,
22,15,15,7,0.103844,1.26,
22,16,17,4,0.101408,1.23,GATE_LAYER
22,17,19,15,-0.101364,1.23,
22,18,14,5,-0.099472,1.21,
22,19,16,29,0.09569,1.16,
22,20,17,7,-0.092122,1.12,GATE_LAYER
25,1,22,6,-0.773542,4.93,
25,2,22,7,0.693914,4.42,
25,3,18,30,0.437186,2.79,
25,4,23,2,0.397405,2.53,
25,5,24,24,-0.390409,2.49,
25,6,22,4,0.390389,2.49,
25,7,24,26,0.337328,2.15,
25,8,23,9,-0.332224,2.12,
25,9,23,1,-0.318288,2.03,
25,10,18,31,-0.311056,1.98,
25,11,22,5,0.308606,1.97,
25,12,18,29,0.267293,1.7,
25,13,23,8,0.264014,1.68,
25,14,19,10,0.26265,1.67,
25,15,24,8,-0.252094,1.61,
25,16,19,31,0.23236,1.48,
25,17,23,10,0.226414,1.44,
25,18,17,19,-0.221967,1.42,GATE_LAYER
25,19,22,16,-0.214785,1.37,
25,20,20,8,0.211679,1.35,
30,1,22,6,-0.773542,3.5,
30,2,22,7,0.693914,3.14,
30,3,18,30,0.437186,1.98,
30,4,27,29,0.418124,1.89,
30,5,23,2,0.397405,1.8,
30,6,24,24,-0.390409,1.77,
30,7,22,4,0.390389,1.77,
30,8,24,26,0.337328,1.53,
30,9,23,9,-0.332224,1.5,
30,10,23,1,-0.318288,1.44,
30,11,18,31,-0.311056,1.41,
30,12,22,5,0.308606,1.4,
30,13,27,14,0.270168,1.22,
30,14,18,29,0.267293,1.21,
30,15,23,8,0.264014,1.2,
30,16,19,10,0.26265,1.19,
30,17,24,8,-0.252094,1.14,
30,18,28,20,0.240536,1.09,
30,19,29,24,0.234221,1.06,
30,20,19,31,0.23236,1.05,
35,1,31,3,2.717677,7.23,
35,2,34,15,1.690249,4.5,
35,3,30,15,0.800584,2.13,
35,4,22,6,-0.773542,2.06,
35,5,22,7,0.693914,1.85,
35,6,34,0,0.662829,1.76,
35,7,31,11,0.639896,1.7,
35,8,34,7,0.480373,1.28,
35,9,34,28,0.445542,1.19,
35,10,18,30,0.437186,1.16,
35,11,27,29,0.418124,1.11,
35,12,23,2,0.397405,1.06,
35,13,24,24,-0.390409,1.04,
35,14,22,4,0.390389,1.04,
35,15,32,16,0.346234,0.92,
35,16,24,26,0.337328,0.9,
35,17,23,9,-0.332224,0.88,
35,18,34,3,-0.326828,0.87,
35,19,23,1,-0.318288,0.85,
35,20,18,31,-0.311056,0.83,
