layer,en_score,cn_score,diff
0,-0.009,-0.009,0.0
1,0.049,0.05,0.001
2,0.043,0.059,0.016
3,0.162,0.165,0.003
4,0.485,0.594,0.109
5,0.727,0.965,0.239
6,1.054,1.377,0.323
7,1.436,1.462,0.025
8,1.529,1.577,0.047
9,1.622,1.899,0.277
10,2.127,2.373,0.246
11,2.237,2.298,0.062
12,2.558,2.679,0.121
13,4.188,4.273,0.085
14,4.748,5.08,0.332
15,5.735,5.32,-0.415
16,7.216,7.065,-0.151
17,7.763,8.536,0.773
18,7.506,8.194,0.689
19,9.98,10.777,0.797
20,12.403,12.707,0.304
21,14.587,14.797,0.21
22,16.756,16.907,0.151
23,21.055,20.521,-0.534
24,31.482,29.644,-1.838
25,38.68,37.616,-1.063
26,45.878,45.154,-0.724
27,49.549,51.585,2.036
28,62.745,60.429,-2.316
29,70.636,65.484,-5.152
30,82.862,73.488,-9.373
31,98.866,79.642,-19.225
32,111.171,83.649,-27.522
33,115.097,91.737,-23.36
34,126.959,99.286,-27.674
35,158.056,117.473,-40.583
36,25.605,17.995,-7.61
