layer,head,n_pairs,mean_nll_reduction,mean_baseline_delta,mean_intervened_delta
13,2,120,1.0154396546383935,5.353700858490911,4.338261203852517
16,1,120,0.45704978180095807,5.353700858490911,4.8966510766899525
9,2,120,0.434557790676727,5.353700858490911,4.9191430678141845
15,7,120,0.20637567436612927,5.353700858490911,5.147325184124782
15,2,120,0.14351690796142855,5.353700858490911,5.210183950529482
17,7,120,0.10737242087053987,5.353700858490911,5.246328437620371
16,0,120,0.0937389777993731,5.353700858490911,5.259961880691537
12,6,120,0.06984833829418666,5.353700858490911,5.2838525201967235
18,0,120,0.03733631031792239,5.353700858490911,5.316364548172987
21,0,120,0.010129622549956455,5.353700858490911,5.343571235940955
19,6,120,0.00854080594353635,5.353700858490911,5.3451600525473735
24,1,120,0.004066409042663181,5.353700858490911,5.3496344494482475
21,6,120,0.0028376350443853845,5.353700858490911,5.350863223446525
21,2,120,-0.0017272923870375475,5.353700858490911,5.355428150877947
23,0,120,-0.005976513697379672,5.353700858490911,5.35967737218829
25,6,120,-0.008220498280981236,5.353700858490911,5.361921356771893
24,3,120,-0.012984179095198018,5.353700858490911,5.366685037586109
23,1,120,-0.10593329824050028,5.353700858490911,5.45963415673141
17,6,120,-0.22618756948000568,5.353700858490911,5.579888427970917
15,6,120,-0.28244725903580786,5.353700858490911,5.6361481175267185
