layer,head,n_pairs,mean_ctrl_to_ccp_reduction,mean_ccp_to_ctrl_increase,mean_baseline_delta
27,1,120,0.1835706353898282,0.0034728064699924717,6.155745541797487
27,18,120,0.1833217464248529,-0.0002876953949527214,6.155745541797487
27,19,120,0.18123262850789157,-0.0006956682381616026,6.155745541797487
26,1,120,0.09692392181693431,0.0008574682655484859,6.155745541797487
24,4,120,0.06803762345790494,0.0019389378898431648,6.155745541797487
22,10,120,0.05019538688513422,0.0054368140105498265,6.155745541797487
23,15,120,0.014561992271411913,0.001416079462675838,6.155745541797487
23,23,120,0.011092530386638372,0.0008885673189100396,6.155745541797487
26,13,120,-0.01038391146746455,0.0022174834443620135,6.155745541797487
26,0,120,-0.04631418383166173,-1.5043916946157776e-05,6.155745541797487
